as_of,ticker
2004-04-01,WDC
2004-04-01,XLNX
2004-05-01,ACIA
2004-05-01,ALTR
2004-05-01,AMAT
2004-05-01,AMD
2004-05-01,AMKR
2004-05-01,ANET
2004-05-01,ARM
2004-05-01,ASML
2004-05-01,AVGO
2004-05-01,CAVM
2004-05-01,CONE
2004-05-01,COR
2004-05-01,CRM
2004-05-01,CSCO
2004-05-01,CY
2004-05-01,DFT
2004-05-01,DLR
2004-05-01,EMC
2004-05-01,EQIX
2004-05-01,ETN
2004-05-01,FNSR
2004-05-01,GEV
2004-05-01,INPHI
2004-05-01,INTC
2004-05-01,KLAC
2004-05-01,LRCX
2004-05-01,MLNX
2004-05-01,MRVL
2004-05-01,MSFT
2004-05-01,MU
2004-05-01,NOW
2004-05-01,NTAP
2004-05-01,NVDA
2004-05-01,OCLR
2004-05-01,ORCL
2004-05-01,PSTG
2004-05-01,QCOM
2004-05-01,QTS
2004-05-01,SNDK
2004-05-01,STX
2004-05-01,TSM
2004-05-01,VRT
2004-05-01,WDC
2004-05-01,XLNX
2004-06-01,ACIA
2004-06-01,ALTR
2004-06-01,AMAT
2004-06-01,AMD
2004-06-01,AMKR
2004-06-01,ANET
2004-06-01,ARM
2004-06-01,ASML
2004-06-01,AVGO
2004-06-01,CAVM
2004-06-01,CONE
2004-06-01,COR
2004-06-01,CRM
2004-06-01,CSCO
2004-06-01,CY
2004-06-01,DFT
2004-06-01,DLR
2004-06-01,EMC
2004-06-01,EQIX
2004-06-01,ETN
2004-06-01,FNSR
2004-06-01,GEV
2004-06-01,INPHI
2004-06-01,INTC
2004-06-01,KLAC
2004-06-01,LRCX
2004-06-01,MLNX
2004-06-01,MRVL
2004-06-01,MSFT
2004-06-01,MU
2004-06-01,NOW
2004-06-01,NTAP
2004-06-01,NVDA
2004-06-01,OCLR
2004-06-01,ORCL
2004-06-01,PSTG
2004-06-01,QCOM
2004-06-01,QTS
2004-06-01,SNDK
2004-06-01,STX
2004-06-01,TSM
2004-06-01,VRT
2004-06-01,WDC
2004-06-01,XLNX
2004-07-01,ACIA
2004-07-01,ALTR
2004-07-01,AMAT
2004-07-01,AMD
2004-07-01,AMKR
2004-07-01,ANET
2004-07-01,ARM
2004-07-01,ASML
2004-07-01,AVGO
2004-07-01,CAVM
2004-07-01,CONE
2004-07-01,COR
2004-07-01,CRM
2004-07-01,CSCO
2004-07-01,CY
2004-07-01,DFT
2004-07-01,DLR
2004-07-01,EMC
2004-07-01,EQIX
2004-07-01,ETN
2004-07-01,FNSR
2004-07-01,GEV
2004-07-01,INPHI
2004-07-01,INTC
2004-07-01,KLAC
2004-07-01,LRCX
2004-07-01,MLNX
2004-07-01,MRVL
2004-07-01,MSFT
2004-07-01,MU
2004-07-01,NOW
2004-07-01,NTAP
2004-07-01,NVDA
2004-07-01,OCLR
2004-07-01,ORCL
2004-07-01,PSTG
2004-07-01,QCOM
2004-07-01,QTS
2004-07-01,SNDK
2004-07-01,STX
2004-07-01,TSM
2004-07-01,VRT
2004-07-01,WDC
2004-07-01,XLNX
2004-08-01,ACIA
2004-08-01,ALTR
2004-08-01,AMAT
2004-08-01,AMD
2004-08-01,AMKR
2004-08-01,ANET
2004-08-01,ARM
2004-08-01,ASML
2004-08-01,AVGO
2004-08-01,CAVM
2004-08-01,CONE
2004-08-01,COR
2004-08-01,CRM
2004-08-01,CSCO
2004-08-01,CY
2004-08-01,DFT
2004-08-01,DLR
2004-08-01,EMC
2004-08-01,EQIX
2004-08-01,ETN
2004-08-01,FNSR
2004-08-01,GEV
2004-08-01,INPHI
2004-08-01,INTC
2004-08-01,KLAC
2004-08-01,LRCX
2004-08-01,MLNX
2004-08-01,MRVL
2004-08-01,MSFT
2004-08-01,MU
2004-08-01,NOW
2004-08-01,NTAP
2004-08-01,NVDA
2004-08-01,OCLR
2004-08-01,ORCL
2004-08-01,PSTG
2004-08-01,QCOM
2004-08-01,QTS
2004-08-01,SNDK
2004-08-01,STX
2004-08-01,TSM
2004-08-01,VRT
2004-08-01,WDC
