as_of,ticker
2005-06-01,TER
2005-06-01,VIAV
2005-06-01,XLNX
2005-07-01,ALTR
2005-07-01,AMAT
2005-07-01,AMCC
2005-07-01,AMD
2005-07-01,CIEN
2005-07-01,CSCO
2005-07-01,EMR
2005-07-01,ETN
2005-07-01,INTC
2005-07-01,KLAC
2005-07-01,MSFT
2005-07-01,MU
2005-07-01,NTAP
2005-07-01,NVDA
2005-07-01,ORCL
2005-07-01,QCOM
2005-07-01,ROK
2005-07-01,TER
2005-07-01,VIAV
2005-07-01,XLNX
2005-08-01,ALTR
2005-08-01,AMAT
2005-08-01,AMCC
2005-08-01,AMD
2005-08-01,CIEN
2005-08-01,CSCO
2005-08-01,EMR
2005-08-01,ETN
2005-08-01,INTC
2005-08-01,KLAC
2005-08-01,MSFT
2005-08-01,MU
2005-08-01,NTAP
2005-08-01,NVDA
2005-08-01,ORCL
2005-08-01,QCOM
2005-08-01,ROK
2005-08-01,TER
2005-08-01,VIAV
2005-08-01,XLNX
2005-09-01,ALTR
2005-09-01,AMAT
2005-09-01,AMCC
2005-09-01,AMD
2005-09-01,CIEN
2005-09-01,CSCO
2005-09-01,EMR
2005-09-01,ETN
2005-09-01,INTC
2005-09-01,KLAC
2005-09-01,MSFT
2005-09-01,MU
2005-09-01,NTAP
2005-09-01,NVDA
2005-09-01,ORCL
2005-09-01,QCOM
2005-09-01,ROK
2005-09-01,TER
2005-09-01,VIAV
2005-09-01,XLNX
2005-10-01,ALTR
2005-10-01,AMAT
2005-10-01,AMCC
2005-10-01,AMD
2005-10-01,CIEN
2005-10-01,CSCO
2005-10-01,EMR
2005-10-01,ETN
2005-10-01,INTC
2005-10-01,KLAC
2005-10-01,MSFT
2005-10-01,MU
2005-10-01,NTAP
2005-10-01,NVDA
2005-10-01,ORCL
2005-10-01,QCOM
2005-10-01,ROK
2005-10-01,TER
2005-10-01,VIAV
2005-10-01,XLNX
2005-11-01,ALTR
2005-11-01,AMAT
2005-11-01,AMCC
2005-11-01,AMD
2005-11-01,CIEN
2005-11-01,CSCO
2005-11-01,EMR
2005-11-01,ETN
2005-11-01,INTC
2005-11-01,KLAC
2005-11-01,MSFT
2005-11-01,MU
2005-11-01,NTAP
2005-11-01,NVDA
2005-11-01,ORCL
2005-11-01,QCOM
2005-11-01,ROK
2005-11-01,TER
2005-11-01,VIAV
2005-11-01,XLNX
2005-12-01,ALTR
2005-12-01,AMAT
2005-12-01,AMCC
2005-12-01,AMD
2005-12-01,CIEN
2005-12-01,CSCO
2005-12-01,EMR
2005-12-01,ETN
2005-12-01,INTC
2005-12-01,KLAC
2005-12-01,MSFT
2005-12-01,MU
2005-12-01,NTAP
2005-12-01,NVDA
2005-12-01,ORCL
2005-12-01,QCOM
2005-12-01,ROK
2005-12-01,TER
2005-12-01,VIAV
2005-12-01,XLNX
2006-01-01,ALTR
2006-01-01,AMAT
2006-01-01,AMCC
2006-01-01,AMD
2006-01-01,AMZN
2006-01-01,CIEN
2006-01-01,CSCO
2006-01-01,EMR
2006-01-01,ETN
2006-01-01,INTC
2006-01-01,KLAC
2006-01-01,MSFT
2006-01-01,MU
2006-01-01,NTAP
2006-01-01,NVDA
2006-01-01,ORCL
2006-01-01,QCOM
2006-01-01,ROK
2006-01-01,TER
2006-01-01,VIAV
2006-01-01,XLNX
2006-02-01,ALTR
2006-02-01,AMAT
2006-02-01,AMCC
2006-02-01,AMD
2006-02-01,AMZN
2006-02-01,CIEN
2006-02-01,CSCO
2006-02-01,EMR
2006-02-01,ETN
2006-02-01,INTC
2006-02-01,KLAC
2006-02-01,MSFT
2006-02-01,MU
2006-02-01,NTAP
2006-02-01,NVDA
2006-02-01,ORCL
2006-02-01,QCOM
2006-02-01,ROK
2006-02-01,TER
2006-02-01,VIAV
2006-02-01,XLNX
2006-03-01,ALTR
2006-03-01,AMAT
2006-03-01,AMCC
2006-03-01,AMD
2006-03-01,AMZN
2006-03-01,CIEN
2006-03-01,CSCO
2006-03-01,EMR
2006-03-01,ETN
2006-03-01,INTC
2006-03-01,KLAC
2006-03-01,MSFT
2006-03-01,MU
2006-03-01,NTAP
2006-03-01,NVDA
2006-03-01,ORCL
2006-03-01,QCOM
2006-03-01,ROK
2006-03-01,TER
2006-03-01,VIAV
2006-03-01,XLNX
2006-04-01,ALTR
2006-04-01,AMAT
2006-04-01,AMCC
2006-04-01,AMD
2006-04-01,AMZN
2006-04-01,CIEN
2006-04-01,CSCO
2006-04-01,EMR
2006-04-01,ETN
2006-04-01,INTC
2006-04-01,KLAC
2006-04-01,MSFT
2006-04-01,MU
2006-04-01,NTAP
2006-04-01,NVDA
2006-04-01,ORCL
2006-04-01,QCOM
2006-04-01,ROK
2006-04-01,TER
2006-04-01,VIAV
2006-04-01,XLNX
2006-05-01,ALTR
2006-05-01,AMAT
2006-05-01,AMCC
2006-05-01,AMD
2006-05-01,AMZN
2006-05-01,CIEN
2006-05-01,CSCO
2006-05-01,EMR
2006-05-01,ETN
2006-05-01,GOOGL
2006-05-01,INTC
2006-05-01,KLAC
2006-05-01,MSFT
2006-05-01,MU
2006-05-01,NTAP
2006-05-01,NVDA
2006-05-01,ORCL
2006-05-01,QCOM
2006-05-01,ROK
2006-05-01,TER
2006-05-01,VIAV
2006-05-01,XLNX
2006-06-01,ALTR
2006-06-01,AMAT
2006-06-01,AMCC
2006-06-01,AMD
2006-06-01,AMZN
2006-06-01,CIEN
2006-06-01,CSCO
2006-06-01,EMR
2006-06-01,ETN
2006-06-01,GOOGL
2006-06-01,INTC
2006-06-01,KLAC
2006-06-01,MSFT
2006-06-01,MU
2006-06-01,NTAP
2006-06-01,NVDA
2006-06-01,ORCL
2006-06-01,QCOM
2006-06-01,ROK
2006-06-01,SNDK
2006-06-01,TER
2006-06-01,VIAV
2006-06-01,XLNX
2006-07-01,ALTR
2006-07-01,AMAT
2006-07-01,AMD
2006-07-01,AMZN
2006-07-01,CIEN
2006-07-01,CSCO
2006-07-01,EMR
2006-07-01,ETN
2006-07-01,GOOGL
2006-07-01,INTC
2006-07-01,JNPR
2006-07-01,KLAC
2006-07-01,MSFT
2006-07-01,MU
2006-07-01,NTAP
