as_of,ticker
2020-10-01,VRTX
2020-10-01,WBA
2020-10-01,WDAY
2020-10-01,WDC
2020-10-01,XEL
2020-10-01,XLNX
2020-10-01,ZM
2020-11-01,AAPL
2020-11-01,ADBE
2020-11-01,ADI
2020-11-01,ADP
2020-11-01,ADSK
2020-11-01,ALGN
2020-11-01,ALXN
2020-11-01,AMAT
2020-11-01,AMD
2020-11-01,AMGN
2020-11-01,AMZN
2020-11-01,ANSS
2020-11-01,ASML
2020-11-01,ATVI
2020-11-01,AVGO
2020-11-01,BIDU
2020-11-01,BIIB
2020-11-01,BKNG
2020-11-01,BMRN
2020-11-01,CDNS
2020-11-01,CDW
2020-11-01,CERN
2020-11-01,CHKP
2020-11-01,CHTR
2020-11-01,CMCSA
2020-11-01,COST
2020-11-01,CPRT
2020-11-01,CSCO
2020-11-01,CSX
2020-11-01,CTAS
2020-11-01,CTSH
2020-11-01,CTXS
2020-11-01,DLTR
2020-11-01,DOCU
2020-11-01,DXCM
2020-11-01,EA
2020-11-01,EBAY
2020-11-01,EXC
2020-11-01,EXPE
2020-11-01,FAST
2020-11-01,FB
2020-11-01,FISV
2020-11-01,FOX
2020-11-01,FOXA
2020-11-01,GILD
2020-11-01,GOOG
2020-11-01,GOOGL
2020-11-01,IDXX
2020-11-01,ILMN
2020-11-01,INCY
2020-11-01,INTC
2020-11-01,INTU
2020-11-01,ISRG
2020-11-01,JD
2020-11-01,KDP
2020-11-01,KHC
2020-11-01,KLAC
2020-11-01,LBTYA
2020-11-01,LBTYK
2020-11-01,LRCX
2020-11-01,LULU
2020-11-01,MAR
2020-11-01,MCHP
2020-11-01,MDLZ
2020-11-01,MELI
2020-11-01,MNST
2020-11-01,MRNA
2020-11-01,MSFT
2020-11-01,MU
2020-11-01,MXIM
2020-11-01,NFLX
2020-11-01,NTES
2020-11-01,NVDA
2020-11-01,NXPI
2020-11-01,ORLY
2020-11-01,PAYX
2020-11-01,PCAR
2020-11-01,PDD
2020-11-01,PEP
2020-11-01,PYPL
2020-11-01,QCOM
2020-11-01,REGN
2020-11-01,ROST
2020-11-01,SBUX
2020-11-01,SGEN
2020-11-01,SIRI
2020-11-01,SNPS
2020-11-01,SPLK
2020-11-01,SWKS
2020-11-01,TCOM
2020-11-01,TMUS
2020-11-01,TSLA
2020-11-01,TTWO
2020-11-01,TXN
2020-11-01,ULTA
2020-11-01,VRSK
2020-11-01,VRSN
2020-11-01,VRTX
2020-11-01,WBA
2020-11-01,WDAY
2020-11-01,XEL
2020-11-01,XLNX
2020-11-01,ZM
2020-12-01,AAPL
2020-12-01,ADBE
2020-12-01,ADI
2020-12-01,ADP
2020-12-01,ADSK
2020-12-01,ALGN
2020-12-01,ALXN
2020-12-01,AMAT
2020-12-01,AMD
2020-12-01,AMGN
2020-12-01,AMZN
2020-12-01,ANSS
2020-12-01,ASML
2020-12-01,ATVI
2020-12-01,AVGO
2020-12-01,BIDU
2020-12-01,BIIB
2020-12-01,BKNG
2020-12-01,BMRN
2020-12-01,CDNS
2020-12-01,CDW
2020-12-01,CERN
2020-12-01,CHKP
2020-12-01,CHTR
2020-12-01,CMCSA
2020-12-01,COST
2020-12-01,CPRT
2020-12-01,CSCO
2020-12-01,CSX
2020-12-01,CTAS
2020-12-01,CTSH
2020-12-01,CTXS
2020-12-01,DLTR
2020-12-01,DOCU
2020-12-01,DXCM
2020-12-01,EA
2020-12-01,EBAY
2020-12-01,EXC
2020-12-01,EXPE
2020-12-01,FAST
2020-12-01,FB
2020-12-01,FISV
2020-12-01,FOX
2020-12-01,FOXA
2020-12-01,GILD
2020-12-01,GOOG
2020-12-01,GOOGL
2020-12-01,IDXX
2020-12-01,ILMN
2020-12-01,INCY
2020-12-01,INTC
2020-12-01,INTU
2020-12-01,ISRG
2020-12-01,JD
2020-12-01,KDP
2020-12-01,KHC
2020-12-01,KLAC
2020-12-01,LBTYA
2020-12-01,LBTYK
2020-12-01,LRCX
2020-12-01,LULU
2020-12-01,MAR
2020-12-01,MCHP
2020-12-01,MDLZ
2020-12-01,MELI
2020-12-01,MNST
2020-12-01,MRNA
2020-12-01,MSFT
2020-12-01,MU
2020-12-01,MXIM
2020-12-01,NFLX
2020-12-01,NTES
2020-12-01,NVDA
2020-12-01,NXPI
